Threshold,FAR,FRR,TAR
0.3,0.1552917649471849,0.0,1.0
0.31,0.14325270668209855,0.0,1.0
0.32,0.13241132777590578,0.0,1.0
0.33,0.12170546610604041,0.0,1.0
0.34,0.1116405643377236,0.0,1.0
0.35000000000000003,0.10188698595015896,0.0,1.0
0.36000000000000004,0.09280000586020482,0.0,1.0
0.37000000000000005,0.08388516928666657,0.0,1.0
0.38000000000000006,0.07572483408295119,0.0,1.0
0.39000000000000007,0.06845818011339497,0.0,1.0
0.4000000000000001,0.06154313843268822,0.0,1.0
0.4100000000000001,0.055052961601007956,0.0,1.0
0.4200000000000001,0.04921106992689395,0.0,1.0
0.4300000000000001,0.043632887469417056,0.0,1.0
0.4400000000000001,0.038435618324860456,0.0,1.0
0.4500000000000001,0.03358996146915335,0.0,1.0
0.46000000000000013,0.029282710930747028,0.0,1.0
0.47000000000000014,0.025345385821234453,0.0,1.0
0.48000000000000015,0.022038032729243887,0.0,1.0
0.49000000000000016,0.018833233221501093,0.0,1.0
0.5000000000000002,0.016108237982917502,0.0,1.0
0.5100000000000002,0.013705554009112619,0.0,1.0
0.5200000000000002,0.011548266111900612,0.0,1.0
0.5300000000000002,0.009654687431325725,0.0,1.0
0.5400000000000003,0.008138359435662277,0.0,1.0
0.5500000000000003,0.006629356696016526,0.0,1.0
0.5600000000000003,0.005442665221149479,0.0,1.0
0.5700000000000003,0.004461080914777971,0.0,1.0
0.5800000000000003,0.0035490865405745932,0.0,1.0
0.5900000000000003,0.0029154518950437317,0.0,1.0
0.6000000000000003,0.0023184435296013596,0.0014577259475218659,0.9985422740524781
0.6100000000000003,0.001864277656504095,0.0014577259475218659,0.9985422740524781
0.6200000000000003,0.0014723764595572615,0.0014577259475218659,0.9985422740524781
0.6300000000000003,0.0011390773107520108,0.0014577259475218659,0.9985422740524781
0.6400000000000003,0.0008790307221237382,0.0014577259475218659,0.9985422740524781
0.6500000000000004,0.0006665982976105015,0.0029154518950437317,0.9970845481049563
0.6600000000000004,0.0004761416411503582,0.004373177842565598,0.9956268221574344
0.6700000000000004,0.0003552749168583442,0.0058309037900874635,0.9941690962099126
0.6800000000000004,0.0002673718446459704,0.006559766763848397,0.9934402332361516
0.6900000000000004,0.00021243242451323674,0.006559766763848397,0.9934402332361516
0.7000000000000004,0.00015016774836280528,0.008017492711370262,0.9919825072886297
0.7100000000000004,0.0001172040962831651,0.009475218658892129,0.9905247813411079
0.7200000000000004,9.889095623892055e-05,0.013119533527696793,0.9868804664723032
0.7300000000000004,6.958993216812928e-05,0.015306122448979591,0.9846938775510204
0.7400000000000004,6.226467615043146e-05,0.01749271137026239,0.9825072886297376
0.7500000000000004,6.226467615043146e-05,0.018950437317784258,0.9810495626822158
0.7600000000000005,5.860204814158255e-05,0.02696793002915452,0.9730320699708455
0.7700000000000005,5.493942013273364e-05,0.03206997084548105,0.967930029154519
0.7800000000000005,5.127679212388473e-05,0.03644314868804665,0.9635568513119533
0.7900000000000005,5.127679212388473e-05,0.04081632653061224,0.9591836734693877
0.8000000000000005,4.761416411503582e-05,0.04591836734693878,0.9540816326530612
0.8100000000000005,4.761416411503582e-05,0.05903790087463557,0.9409620991253644
0.8200000000000005,4.761416411503582e-05,0.06924198250728864,0.9307580174927114
0.8300000000000005,4.761416411503582e-05,0.08381924198250729,0.9161807580174927
0.8400000000000005,4.395153610618691e-05,0.09475218658892129,0.9052478134110787
0.8500000000000005,4.0288908097338e-05,0.11734693877551021,0.8826530612244898
0.8600000000000005,4.0288908097338e-05,0.14067055393586006,0.85932944606414
0.8700000000000006,4.0288908097338e-05,0.16326530612244897,0.8367346938775511
0.8800000000000006,3.6626280088489096e-05,0.19387755102040816,0.8061224489795918
0.8900000000000006,2.5638396061942365e-05,0.2230320699708455,0.7769679300291545
0.9000000000000006,2.1975768053093455e-05,0.260932944606414,0.739067055393586
0.9100000000000006,7.325256017697819e-06,0.30830903790087466,0.6916909620991254
0.9200000000000006,0.0,0.3782798833819242,0.6217201166180758
0.9300000000000006,0.0,0.4577259475218659,0.5422740524781341
0.9400000000000006,0.0,0.5721574344023324,0.42784256559766765
0.9500000000000006,0.0,0.7033527696793003,0.29664723032069973
