Method,FAR_0.62,FRR_0.62,TAR_0.62,F1_0.62,Best_F1_Threshold,Best_F1,EER_Threshold,EER_FAR,EER_FRR,ROC_AUC
METHOD 1 - MAXIMUM SIMILARITY,0.0032244858032049214,0.008651766402307137,0.9913482335976929,0.7530120481927711,0.74,0.9801658853227552,0.582,0.007213428353012358,0.007209805335255948,0.9967230705576491
METHOD 2 - CONSISTENCY PENALIZED,0.0032244858032049214,0.008651766402307137,0.9913482335976929,0.7530120481927711,0.74,0.9801658853227552,0.582,0.007213428353012358,0.007209805335255948,0.9967230705576491
METHOD 3 - COMPRESSED SCORE,0.11307800719531326,0.006488824801730353,0.9935111751982696,0.08111608194019308,0.86,0.9801658853227552,0.763,0.007191690246473898,0.007209805335255948,0.9967230705576491
