Subject,Image,Similarity,Width,Height,Brightness,Contrast,Edge_Ratio
151,54-14.jpg,8.4e-05,200,200,19.57285,14.498632448527689,1.1400000000000001
155,58-14.jpg,0.004733,200,200,12.139775,6.650442688225724,0.095
106,194-14.jpg,0.069863,200,200,19.13945,10.073847512122665,0.22499999999999998
009,106-14.jpg,0.11005,200,200,11.669425,9.98511117461268,0.0
173,74-14.jpg,0.118006,200,200,15.545225,7.976942064436408,0.0
158,60-14.jpg,0.152262,200,200,8.604725,5.816191423463898,0.0
046,14-14.jpg,0.168287,200,200,15.2009,9.578156878544013,0.245
074,165-14.jpg,0.179908,200,200,14.66,10.004004198319791,0.0
034,129-14.jpg,0.241566,200,200,10.65615,4.849780116407341,0.0
025,120-14.jpg,0.442611,200,200,15.727675,9.281891730373449,0.0275
059,151-01.jpg,0.597509,200,200,103.014125,44.78004997188341,6.39
095,184-07.jpg,0.59892,200,200,73.3243,42.35403970709288,0.6224999999999999
